tanggal,waktu,mode,market,outcome,bet_amount,harga_entry,hasil,pnl_estimasi,pnl_akurat
2026-07-01,14:10:15,CONSENSUS,Spread: Spain (-2.5),Spain,5.0,,KALAH,-5.0,Kasar (gak ada harga entry)
2026-07-01,14:10:24,CONSENSUS,Will Portugal win on 2026-06-17?,Yes,5.0,,KALAH,-5.0,Kasar (gak ada harga entry)
2026-07-01,14:10:41,CONSENSUS,Will Portugal win on 2026-06-27?,Yes,5.0,,KALAH,-5.0,Kasar (gak ada harga entry)
2026-07-01,14:10:51,CONSENSUS,Spread: Argentina (-2.5),Argentina,5.0,,KALAH,-5.0,Kasar (gak ada harga entry)
2026-07-01,14:11:02,CONSENSUS,Côte d'Ivoire vs. Norway: O/U 2.5,Under,5.0,,KALAH,-5.0,Kasar (gak ada harga entry)
